Date,Open,High,Low,Close,Volume
7/02/2024,43.41,43.56,42.89,43.16,6362617
7/03/2024,43.33,43.65,43.18,43.65,5010302
7/04/2024,44.49,44.87,44,44.77,7772273
7/05/2024,44.52,44.68,44.21,44.39,5147858
7/08/2024,44.1,44.11,43.42,43.48,6913876
7/09/2024,43.65,43.92,43.56,43.74,6438158
7/10/2024,43.36,43.42,43.1,43.17,5499582
7/11/2024,43.64,43.73,43.26,43.56,4852929
7/12/2024,43.11,43.56,43.09,43.4,5764488
7/15/2024,43.95,43.95,43.62,43.67,4958854
7/16/2024,43.05,43.21,42.75,43.08,8870813
7/17/2024,42.91,43.15,42.66,42.7,9282537
7/18/2024,42.65,42.85,42.5,42.66,8147612
7/19/2024,42.02,42.09,41.75,41.76,13474380
7/22/2024,41.75,41.77,41.35,41.64,6231978
7/23/2024,41.85,41.93,41.46,41.46,8066150
7/24/2024,41.31,41.56,41.02,41.56,5925152
7/25/2024,41.38,41.53,41.15,41.19,7438426
7/26/2024,41.88,42.29,41.69,42.1,8529257
7/29/2024,42.29,42.43,42.07,42.07,5864880
7/30/2024,41.57,41.84,41.31,41.54,8642810
7/31/2024,41.32,42.3,41.18,42.3,12198664
8/01/2024,42.83,42.92,42.33,42.49,7112835
8/02/2024,41.51,41.98,41.45,41.98,9066246
8/05/2024,41.15,41.87,41,41.11,9605105
8/06/2024,41.1,41.53,41.05,41.26,10591147
8/07/2024,41.02,41.28,40.88,41.02,7249147
8/08/2024,40.57,40.59,40.06,40.21,7985004
8/09/2024,40.65,41.02,40.32,40.86,7908736
8/12/2024,40.87,40.94,40.41,40.64,4248347
8/13/2024,40.64,41,40.58,40.75,6044417
8/14/2024,40.45,40.68,39.56,39.62,10698192
8/15/2024,39.31,39.43,38.76,39.21,12352694
8/16/2024,40.07,40.25,39.67,40.01,11839456
8/19/2024,39.9,40.05,39.61,39.73,6156130
8/20/2024,40.21,40.33,39.94,40.25,5820593
8/21/2024,39.9,40.9,39.83,40.88,9386197
8/22/2024,41.13,41.24,40.86,40.94,6392273
8/23/2024,40.68,40.79,40.53,40.67,5807439
8/26/2024,40.83,41.03,40.7,40.84,5951917
8/27/2024,41.91,41.93,41.35,41.35,7873689
8/28/2024,40.87,41.19,40.5,40.76,10748562
8/29/2024,40.18,40.53,40.12,40.53,9420254
8/30/2024,40.7,40.9,40.45,40.77,14044419
9/02/2024,40.72,40.76,40.25,40.33,4541942
9/03/2024,40.2,40.35,39.63,39.63,8507301
9/04/2024,38.88,39.09,38.63,38.64,10812808
9/05/2024,39.01,39.19,38.8,38.91,8478107
9/06/2024,39,39.07,38.28,38.45,8379626
9/09/2024,38.59,38.83,38.33,38.76,7698787
9/10/2024,38.99,39.12,38.66,38.66,7095612
9/11/2024,38.75,39.39,38.71,39.34,9266380
9/12/2024,38.65,38.86,38.46,38.81,10485994
9/13/2024,39.19,39.87,39.1,39.6,9514813
9/16/2024,39.75,39.8,39.52,39.55,6667715
9/17/2024,39.64,39.73,39.5,39.55,6932657
9/18/2024,39.55,39.91,39.02,39.19,5294524
9/19/2024,40,40.29,39.2,40.19,13376159
9/20/2024,40.67,40.83,40.13,40.34,15808676
9/23/2024,39.5,39.9,39.41,39.81,5167820
9/24/2024,39.99,41.43,39.9,41.12,12760753
9/25/2024,41.88,42.7,41.84,42.7,14781123
9/26/2024,42.59,43.56,42.45,43.36,13898957
9/27/2024,44.35,44.86,44.27,44.74,15212129
